,certified,model,mileage,price,monthly,dealer,review,rating
3374,Used,2019 Jeep Wrangler Unlimited Sahara,"51,620 mi.","$37,944",Fair Deal,"
McGee Chevrolet
",(430 reviews),4.4
3375,Used,2019 Chevrolet Suburban Premier,"90,330 mi.","$43,159",Fair Deal,"
AutoNation Buick GMC Park Meadows
",(698 reviews),4.5
3376,Used,2021 Ford Ranger XLT,"25,053 mi.","$32,595",Fair Deal,"
DESOTO Ford
",(346 reviews),4.4
3377,GMC Certified,2021 GMC Canyon Elevation,"51,179 mi.","$34,000",Fair Deal,"
Salt Lake Valley Buick GMC
",(163 reviews),3.2
3378,Used,2021 Volkswagen Jetta 1.4T SE,"61,628 mi.","$20,311",Fair Deal,"
Walla Walla Valley Honda
",(152 reviews),4.1
3379,Used,2016 Lexus GX 460 Base,"76,125 mi.","$35,990",Fair Deal,"
BMW of Salem
",(747 reviews),4.8
3380,Used,2012 Cadillac CTS Luxury,"108,307 mi.","$9,998",Good Deal,"
#1 Cochran Chevrolet
",N/A,N/A
3381,Used,2017 Toyota Tacoma SR5,"136,746 mi.","$21,995",Fair Deal,"
Auto Land Group Inc
",(4 reviews),N/A
3382,Used,2023 Jeep Gladiator Mojave,"5,500 mi.","$67,991",Fair Deal,"
Dempsey Dodge Chrysler Jeep RAM
",(217 reviews),3.5
3383,Used,2019 Nissan Titan XD SV,"83,241 mi.","$37,777",Fair Deal,"
All Star Dodge Chrysler Jeep RAM
",(919 reviews),3.7
3384,Used,2017 Chrysler Pacifica Touring-L,"91,810 mi.","$20,202",Fair Deal,"
Snell Motors
",(727 reviews),4.8
3385,Used,2023 Audi Q4 e-tron 50 Premium Plus,"9,765 mi.","$58,800",Fair Deal,"
RMR 4x4
",(1 review),N/A
3386,Used,2016 Lincoln MKX Reserve,"49,174 mi.","$25,995",Fair Deal,"
Joshua Motor Car Co Inc
",(26 reviews),5.0
3387,Used,2015 BMW 320 i xDrive,"116,100 mi.","$13,550",Fair Deal,"
Market Auto Sales
",(121 reviews),4.5
3388,Used,2020 BMW X4 M40i AWD 4dr Sports Activity Coupe,"51,369 mi.","$43,995",Fair Deal,"
Liberty Autoland
",(169 reviews),N/A
3389,Used,2019 Mercedes-Benz AMG E 53 Base 4MATIC,"27,302 mi.","$56,995",Fair Deal,"
Import Masters
",(498 reviews),3.4
3390,Used,2023 Chevrolet Silverado 1500 LT,"4,553 mi.","$52,999",Fair Deal,"
Mazda 112
","(1,952 reviews)",4.9
3391,Used,2019 BMW 650 Gran Coupe 650i xDrive M-Sport Edition,"43,056 mi.","$45,995",Fair Deal,"
North Bay Imports
",(139 reviews),4.0
3392,Used,2023 Rivian R1S Adventure,301 mi.,"$95,750",Fair Deal,"
eCarOne
","(2,101 reviews)",4.9
3393,Honda Certified,2019 Honda Fit LX,"29,712 mi.","$22,426",Fair Deal,"
McGovern Honda of Boston
","(1,206 reviews)",4.9
